,City,Date,Card Type,Exp Type,Gender,Amount,Year,Month
84,"Bengaluru, India",2014-03-27,Gold,Bills,Female,418675,2014,3
85,"Ahmedabad, India",2015-02-17,Silver,Bills,Female,804949,2015,2
86,"Bengaluru, India",2015-02-10,Gold,Bills,Female,686601,2015,2
87,"Greater Mumbai, India",2014-02-26,Silver,Bills,Female,561220,2014,2
88,"Greater Mumbai, India",2015-05-07,Gold,Bills,Female,762534,2015,5
89,"Bengaluru, India",2014-01-05,Gold,Bills,Female,327947,2014,1
90,"Bengaluru, India",2014-04-07,Gold,Bills,Female,492986,2014,4
91,"Delhi, India",2015-02-20,Signature,Bills,Female,369237,2015,2
92,"Bengaluru, India",2015-01-19,Platinum,Bills,Female,983839,2015,1
93,"Ahmedabad, India",2014-11-14,Gold,Bills,Female,776716,2014,11
94,"Greater Mumbai, India",2014-07-21,Gold,Bills,Female,664632,2014,7
95,"Bengaluru, India",2015-02-03,Gold,Bills,Female,466727,2015,2
96,"Bengaluru, India",2013-11-01,Gold,Bills,Female,896384,2013,11
97,"Delhi, India",2013-12-07,Signature,Bills,Female,712001,2013,12
98,"Greater Mumbai, India",2014-08-05,Silver,Bills,Female,246865,2014,8
99,"Greater Mumbai, India",2015-01-08,Signature,Bills,Female,858729,2015,1
100,"Delhi, India",2015-04-11,Platinum,Bills,Female,581882,2015,4
101,"Greater Mumbai, India",2015-02-15,Signature,Bills,Female,646426,2015,2
102,"Bengaluru, India",2015-03-24,Silver,Bills,Female,687088,2015,3
103,"Bengaluru, India",2013-10-13,Signature,Bills,Female,973026,2013,10
104,"Greater Mumbai, India",2015-04-24,Silver,Bills,Female,944398,2015,4
105,"Ahmedabad, India",2014-11-09,Platinum,Bills,Female,414422,2014,11
106,"Bengaluru, India",2015-02-04,Signature,Bills,Female,408503,2015,2
107,"Bengaluru, India",2014-03-06,Signature,Bills,Female,984466,2014,3
108,"Greater Mumbai, India",2014-03-27,Gold,Bills,Female,919997,2014,3
109,"Greater Mumbai, India",2013-11-13,Signature,Bills,Female,535101,2013,11
110,"Greater Mumbai, India",2013-10-22,Signature,Bills,Female,978301,2013,10
111,"Greater Mumbai, India",2014-09-27,Gold,Bills,Female,880406,2014,9
112,"Ahmedabad, India",2014-11-14,Silver,Bills,Female,447241,2014,11
113,"Bengaluru, India",2013-10-21,Platinum,Bills,Female,382191,2013,10
114,"Bengaluru, India",2015-05-15,Silver,Bills,Female,775859,2015,5
115,"Bengaluru, India",2014-03-21,Platinum,Bills,Female,832637,2014,3
116,"Bengaluru, India",2015-04-03,Platinum,Bills,Female,458526,2015,4
117,"Ahmedabad, India",2015-04-06,Signature,Bills,Female,440995,2015,4
118,"Ahmedabad, India",2013-11-05,Platinum,Bills,Female,490128,2013,11
119,"Delhi, India",2013-10-07,Platinum,Bills,Female,897079,2013,10
120,"Delhi, India",2014-10-31,Gold,Bills,Female,431948,2014,10
121,"Bengaluru, India",2014-04-03,Silver,Bills,Female,228072,2014,4
122,"Delhi, India",2013-11-21,Gold,Bills,Female,757649,2013,11
123,"Delhi, India",2014-05-11,Signature,Bills,Female,919877,2014,5
124,"Greater Mumbai, India",2014-05-23,Gold,Bills,Female,605615,2014,5
125,"Bengaluru, India",2015-05-22,Platinum,Bills,Female,500852,2015,5
126,"Greater Mumbai, India",2015-02-15,Signature,Bills,Female,488136,2015,2
127,"Delhi, India",2014-06-16,Gold,Bills,Female,937828,2014,6
128,"Delhi, India",2014-01-27,Gold,Bills,Female,315873,2014,1
129,"Greater Mumbai, India",2015-05-20,Silver,Bills,Female,567623,2015,5
130,"Greater Mumbai, India",2013-10-29,Platinum,Bills,Female,555123,2013,10
131,"Bengaluru, India",2014-04-20,Gold,Bills,Female,498843,2014,4
132,"Greater Mumbai, India",2014-05-23,Silver,Bills,Female,752610,2014,5
133,"Greater Mumbai, India",2015-03-11,Platinum,Bills,Female,494540,2015,3
134,"Delhi, India",2013-10-27,Gold,Bills,Female,996754,2013,10
135,"Ahmedabad, India",2014-07-14,Signature,Bills,Female,245572,2014,7
136,"Delhi, India",2014-04-18,Gold,Bills,Female,974384,2014,4
137,"Ahmedabad, India",2014-03-25,Silver,Bills,Female,846635,2014,3
138,"Ahmedabad, India",2014-09-01,Silver,Bills,Female,635473,2014,9
139,"Delhi, India",2015-03-23,Gold,Bills,Female,224510,2015,3
140,"Delhi, India",2015-01-24,Silver,Bills,Female,478671,2015,1
141,"Greater Mumbai, India",2013-10-04,Gold,Bills,Female,990700,2013,10
142,"Delhi, India",2014-03-14,Gold,Bills,Female,228565,2014,3
143,"Bengaluru, India",2014-01-03,Silver,Bills,Female,297732,2014,1
144,"Greater Mumbai, India",2014-12-03,Signature,Bills,Female,559262,2014,12
145,"Bengaluru, India",2014-07-01,Signature,Bills,Female,809907,2014,7
146,"Ahmedabad, India",2014-08-21,Signature,Bills,Female,428316,2014,8
147,"Ahmedabad, India",2014-03-05,Signature,Bills,Female,275065,2014,3
148,"Bengaluru, India",2014-04-20,Silver,Bills,Female,845653,2014,4
149,"Ahmedabad, India",2013-11-20,Signature,Bills,Female,236296,2013,11
150,"Bengaluru, India",2014-09-25,Signature,Bills,Female,440572,2014,9
151,"Ahmedabad, India",2015-02-06,Gold,Bills,Female,478115,2015,2
152,"Bengaluru, India",2013-10-26,Gold,Bills,Female,897621,2013,10
153,"Greater Mumbai, India",2015-05-06,Signature,Bills,Female,554281,2015,5
154,"Delhi, India",2014-09-30,Silver,Bills,Female,245452,2014,9
155,"Delhi, India",2014-01-17,Platinum,Bills,Female,365045,2014,1
156,"Greater Mumbai, India",2015-01-11,Gold,Bills,Female,496047,2015,1
157,"Bengaluru, India",2015-02-11,Silver,Bills,Female,466814,2015,2
158,"Bengaluru, India",2014-11-10,Gold,Bills,Female,835177,2014,11
159,"Delhi, India",2015-01-12,Silver,Bills,Female,219698,2015,1
160,"Bengaluru, India",2014-10-18,Silver,Bills,Female,784541,2014,10
161,"Delhi, India",2013-10-25,Signature,Bills,Female,576994,2013,10
162,"Bengaluru, India",2015-05-15,Gold,Bills,Female,464663,2015,5
163,"Bengaluru, India",2014-05-03,Platinum,Bills,Female,380270,2014,5
164,"Ahmedabad, India",2014-10-02,Silver,Bills,Female,772082,2014,10
165,"Delhi, India",2015-04-09,Gold,Bills,Female,230853,2015,4
166,"Bengaluru, India",2013-10-06,Signature,Bills,Female,677654,2013,10
167,"Greater Mumbai, India",2014-02-05,Signature,Bills,Female,929247,2014,2
168,"Ahmedabad, India",2015-04-09,Platinum,Bills,Female,851374,2015,4
169,"Ahmedabad, India",2014-01-19,Platinum,Bills,Female,637600,2014,1
170,"Greater Mumbai, India",2013-11-09,Platinum,Bills,Female,681749,2013,11
171,"Delhi, India",2014-03-25,Silver,Bills,Female,847958,2014,3
172,"Greater Mumbai, India",2014-02-18,Gold,Bills,Female,877569,2014,2
173,"Ahmedabad, India",2013-10-14,Platinum,Bills,Female,450413,2013,10
174,"Bengaluru, India",2015-05-01,Signature,Bills,Female,219041,2015,5
175,"Bengaluru, India",2014-12-31,Gold,Bills,Female,866572,2014,12
176,"Greater Mumbai, India",2014-03-26,Signature,Bills,Female,570791,2014,3
177,"Ahmedabad, India",2014-04-28,Silver,Bills,Female,705464,2014,4
178,"Greater Mumbai, India",2014-04-06,Signature,Bills,Female,806821,2014,4
179,"Greater Mumbai, India",2014-03-27,Platinum,Bills,Female,515472,2014,3
180,"Ahmedabad, India",2014-09-23,Silver,Bills,Female,352207,2014,9
181,"Ahmedabad, India",2015-03-04,Gold,Bills,Female,342761,2015,3
182,"Bengaluru, India",2014-02-27,Signature,Bills,Female,249099,2014,2
183,"Ahmedabad, India",2014-08-27,Platinum,Bills,Female,995634,2014,8
184,"Bengaluru, India",2014-12-12,Signature,Bills,Female,435097,2014,12
185,"Ahmedabad, India",2014-06-16,Platinum,Bills,Female,797815,2014,6
186,"Delhi, India",2014-01-02,Gold,Bills,Female,326922,2014,1
187,"Bengaluru, India",2014-12-11,Gold,Bills,Female,396241,2014,12
188,"Delhi, India",2014-12-14,Gold,Bills,Female,486949,2014,12
189,"Greater Mumbai, India",2014-01-17,Gold,Bills,Female,333483,2014,1
190,"Ahmedabad, India",2013-10-05,Platinum,Bills,Female,612572,2013,10
191,"Bengaluru, India",2015-03-18,Silver,Bills,Female,327244,2015,3
192,"Ahmedabad, India",2014-02-04,Silver,Bills,Female,955468,2014,2
193,"Greater Mumbai, India",2015-02-25,Gold,Bills,Female,927864,2015,2
194,"Delhi, India",2014-03-28,Signature,Bills,Female,555220,2014,3
195,"Delhi, India",2014-12-28,Silver,Bills,Female,952640,2014,12
196,"Ahmedabad, India",2014-05-31,Silver,Bills,Female,695749,2014,5
197,"Greater Mumbai, India",2014-08-22,Platinum,Bills,Female,365724,2014,8
198,"Greater Mumbai, India",2015-03-03,Platinum,Bills,Female,738108,2015,3
199,"Ahmedabad, India",2015-01-17,Platinum,Bills,Female,650785,2015,1
200,"Delhi, India",2014-10-23,Signature,Bills,Female,611486,2014,10
201,"Bengaluru, India",2014-08-05,Platinum,Bills,Female,965721,2014,8
202,"Ahmedabad, India",2014-10-12,Gold,Bills,Female,413052,2014,10
203,"Ahmedabad, India",2014-01-22,Silver,Bills,Female,584822,2014,1
204,"Ahmedabad, India",2015-03-25,Gold,Bills,Female,980146,2015,3
205,"Ahmedabad, India",2014-10-10,Signature,Bills,Female,926072,2014,10
206,"Delhi, India",2014-04-16,Silver,Bills,Female,482394,2014,4
207,"Bengaluru, India",2014-02-21,Signature,Bills,Female,718346,2014,2
208,"Bengaluru, India",2014-04-24,Silver,Bills,Female,491598,2014,4
209,"Delhi, India",2014-09-07,Platinum,Bills,Female,848852,2014,9
210,"Bengaluru, India",2014-12-28,Gold,Bills,Female,396139,2014,12
211,"Ahmedabad, India",2014-10-13,Signature,Bills,Female,856974,2014,10
212,"Ahmedabad, India",2015-04-03,Signature,Bills,Female,855990,2015,4
213,"Delhi, India",2015-02-16,Signature,Bills,Female,924776,2015,2
214,"Greater Mumbai, India",2014-04-03,Signature,Bills,Female,204850,2014,4
215,"Delhi, India",2013-11-03,Platinum,Bills,Female,780669,2013,11
216,"Greater Mumbai, India",2014-04-17,Signature,Bills,Female,887442,2014,4
217,"Delhi, India",2014-01-22,Signature,Bills,Female,297820,2014,1
218,"Delhi, India",2015-03-14,Signature,Bills,Female,687879,2015,3
219,"Greater Mumbai, India",2013-10-13,Silver,Bills,Female,738456,2013,10
220,"Delhi, India",2014-08-24,Platinum,Bills,Female,378535,2014,8
221,"Greater Mumbai, India",2015-05-09,Silver,Bills,Female,334116,2015,5
222,"Delhi, India",2014-06-07,Silver,Bills,Female,772360,2014,6
223,"Ahmedabad, India",2014-11-26,Gold,Bills,Female,580796,2014,11
224,"Greater Mumbai, India",2014-10-21,Silver,Bills,Female,855465,2014,10
225,"Greater Mumbai, India",2014-06-15,Gold,Bills,Female,978989,2014,6
226,"Ahmedabad, India",2015-04-25,Gold,Bills,Female,451874,2015,4
227,"Ahmedabad, India",2014-09-07,Silver,Bills,Female,670750,2014,9
228,"Bengaluru, India",2015-05-19,Signature,Bills,Female,977951,2015,5
229,"Delhi, India",2014-02-23,Platinum,Bills,Female,403466,2014,2
230,"Delhi, India",2013-10-28,Signature,Bills,Female,861177,2013,10
231,"Ahmedabad, India",2014-12-17,Gold,Bills,Female,528612,2014,12
232,"Ahmedabad, India",2014-12-04,Signature,Bills,Female,339670,2014,12
233,"Delhi, India",2013-11-18,Signature,Bills,Female,963751,2013,11
234,"Ahmedabad, India",2014-11-30,Gold,Bills,Female,761930,2014,11
235,"Ahmedabad, India",2014-08-21,Signature,Bills,Female,852806,2014,8
236,"Delhi, India",2014-05-25,Signature,Bills,Female,207755,2014,5
237,"Greater Mumbai, India",2015-04-19,Gold,Bills,Female,489540,2015,4
238,"Ahmedabad, India",2014-03-25,Silver,Bills,Female,274395,2014,3
239,"Bengaluru, India",2014-02-11,Platinum,Bills,Female,566945,2014,2
240,"Ahmedabad, India",2014-12-09,Gold,Bills,Female,705690,2014,12
241,"Bengaluru, India",2014-03-25,Gold,Bills,Female,894888,2014,3
242,"Greater Mumbai, India",2014-01-02,Platinum,Bills,Female,811899,2014,1
243,"Greater Mumbai, India",2014-12-25,Silver,Bills,Female,677645,2014,12
244,"Greater Mumbai, India",2014-10-16,Platinum,Bills,Female,326162,2014,10
245,"Delhi, India",2015-04-19,Platinum,Bills,Female,316946,2015,4
246,"Delhi, India",2014-01-20,Platinum,Bills,Female,622373,2014,1
247,"Bengaluru, India",2014-05-10,Signature,Bills,Female,640653,2014,5
248,"Ahmedabad, India",2015-01-09,Signature,Bills,Female,745493,2015,1
249,"Delhi, India",2013-10-31,Gold,Bills,Female,868021,2013,10
250,"Delhi, India",2014-11-28,Platinum,Bills,Female,284923,2014,11
251,"Bengaluru, India",2014-07-21,Platinum,Bills,Female,814422,2014,7
252,"Bengaluru, India",2015-04-22,Gold,Bills,Female,599741,2015,4
253,"Ahmedabad, India",2014-06-10,Platinum,Bills,Female,804560,2014,6
254,"Ahmedabad, India",2015-04-17,Gold,Bills,Female,996291,2015,4
255,"Ahmedabad, India",2013-11-09,Platinum,Bills,Female,477553,2013,11
256,"Delhi, India",2015-01-02,Gold,Bills,Female,216028,2015,1
257,"Greater Mumbai, India",2015-03-10,Signature,Bills,Female,275427,2015,3
258,"Delhi, India",2013-12-22,Silver,Bills,Female,722048,2013,12
259,"Delhi, India",2015-02-14,Silver,Bills,Female,292365,2015,2
260,"Ahmedabad, India",2015-01-30,Silver,Bills,Female,400393,2015,1
261,"Greater Mumbai, India",2014-04-01,Platinum,Bills,Female,219720,2014,4
262,"Delhi, India",2015-02-15,Signature,Bills,Female,981404,2015,2
263,"Bengaluru, India",2014-11-24,Signature,Bills,Female,639670,2014,11
264,"Bengaluru, India",2014-08-07,Gold,Bills,Female,814333,2014,8
265,"Ahmedabad, India",2013-10-17,Gold,Bills,Female,569582,2013,10
266,"Ahmedabad, India",2014-05-25,Gold,Bills,Female,954111,2014,5
267,"Ahmedabad, India",2014-05-16,Gold,Bills,Female,635267,2014,5
268,"Delhi, India",2013-10-11,Gold,Bills,Female,393651,2013,10
269,"Ahmedabad, India",2014-06-02,Platinum,Bills,Female,572306,2014,6
270,"Ahmedabad, India",2014-08-06,Silver,Bills,Female,407647,2014,8
271,"Greater Mumbai, India",2015-01-26,Gold,Bills,Female,734396,2015,1
272,"Delhi, India",2015-03-02,Platinum,Bills,Female,224414,2015,3
273,"Ahmedabad, India",2014-09-10,Signature,Bills,Female,203194,2014,9
274,"Greater Mumbai, India",2015-01-22,Gold,Bills,Female,250410,2015,1
275,"Delhi, India",2015-04-04,Silver,Bills,Female,830697,2015,4
276,"Greater Mumbai, India",2014-05-16,Platinum,Bills,Female,790800,2014,5
277,"Greater Mumbai, India",2014-02-22,Silver,Bills,Female,638570,2014,2
278,"Greater Mumbai, India",2014-08-13,Silver,Bills,Female,380409,2014,8
279,"Greater Mumbai, India",2014-04-01,Gold,Bills,Female,601631,2014,4
280,"Ahmedabad, India",2014-01-08,Gold,Bills,Female,690534,2014,1
281,"Ahmedabad, India",2015-03-05,Silver,Bills,Female,423661,2015,3
282,"Greater Mumbai, India",2014-12-08,Silver,Bills,Female,936294,2014,12
283,"Bengaluru, India",2014-11-29,Platinum,Bills,Female,537050,2014,11
284,"Delhi, India",2015-03-08,Silver,Bills,Female,899343,2015,3
285,"Greater Mumbai, India",2013-11-25,Platinum,Bills,Female,834691,2013,11
286,"Ahmedabad, India",2015-04-13,Silver,Bills,Female,240216,2015,4
287,"Greater Mumbai, India",2014-04-15,Signature,Bills,Female,424370,2014,4
288,"Delhi, India",2015-02-13,Silver,Bills,Female,593991,2015,2
289,"Greater Mumbai, India",2014-10-02,Signature,Bills,Female,768467,2014,10
290,"Delhi, India",2015-02-07,Gold,Bills,Female,781959,2015,2
291,"Bengaluru, India",2014-12-27,Platinum,Bills,Female,553907,2014,12
292,"Bengaluru, India",2014-08-04,Platinum,Bills,Female,308622,2014,8
293,"Greater Mumbai, India",2015-05-05,Signature,Bills,Female,912334,2015,5
294,"Delhi, India",2015-01-28,Silver,Bills,Female,586474,2015,1
295,"Delhi, India",2014-04-06,Gold,Bills,Female,521237,2014,4
296,"Delhi, India",2013-10-30,Signature,Bills,Female,446266,2013,10
297,"Greater Mumbai, India",2014-09-30,Platinum,Bills,Female,511168,2014,9
298,"Bengaluru, India",2013-12-28,Signature,Bills,Female,608438,2013,12
299,"Delhi, India",2014-10-18,Gold,Bills,Female,973519,2014,10
300,"Delhi, India",2014-11-28,Platinum,Bills,Female,688577,2014,11
301,"Bengaluru, India",2014-05-12,Silver,Bills,Female,686619,2014,5
302,"Greater Mumbai, India",2014-11-06,Signature,Bills,Female,255982,2014,11
303,"Greater Mumbai, India",2014-03-02,Signature,Bills,Female,464656,2014,3
304,"Delhi, India",2015-04-19,Signature,Bills,Female,212319,2015,4
305,"Greater Mumbai, India",2015-04-18,Platinum,Bills,Female,307563,2015,4
306,"Delhi, India",2015-04-15,Silver,Bills,Female,407564,2015,4
307,"Bengaluru, India",2014-10-12,Signature,Bills,Female,331349,2014,10
308,"Delhi, India",2015-04-14,Silver,Bills,Female,391325,2015,4
309,"Ahmedabad, India",2014-10-07,Silver,Bills,Female,530244,2014,10
310,"Greater Mumbai, India",2014-04-16,Signature,Bills,Female,668736,2014,4
311,"Bengaluru, India",2014-12-03,Gold,Bills,Female,517448,2014,12
312,"Ahmedabad, India",2014-08-03,Platinum,Bills,Female,788531,2014,8
313,"Ahmedabad, India",2014-03-17,Gold,Bills,Female,474729,2014,3
314,"Bengaluru, India",2015-01-16,Platinum,Bills,Female,590841,2015,1
315,"Greater Mumbai, India",2014-01-05,Platinum,Bills,Female,608427,2014,1
316,"Delhi, India",2015-05-02,Silver,Bills,Female,719835,2015,5
317,"Delhi, India",2013-12-30,Signature,Bills,Female,375139,2013,12
318,"Bengaluru, India",2014-05-19,Platinum,Bills,Female,229589,2014,5
319,"Bengaluru, India",2014-07-05,Signature,Bills,Female,376453,2014,7
320,"Delhi, India",2013-10-10,Signature,Bills,Female,360009,2013,10
321,"Ahmedabad, India",2014-08-03,Signature,Bills,Female,770346,2014,8
322,"Greater Mumbai, India",2015-05-23,Signature,Bills,Female,489043,2015,5
323,"Bengaluru, India",2014-11-11,Platinum,Bills,Female,503037,2014,11
324,"Greater Mumbai, India",2014-01-11,Platinum,Bills,Female,731261,2014,1
325,"Ahmedabad, India",2014-02-14,Signature,Bills,Female,262755,2014,2
326,"Greater Mumbai, India",2014-07-16,Gold,Bills,Female,825475,2014,7
327,"Greater Mumbai, India",2014-02-24,Platinum,Bills,Female,922630,2014,2
328,"Delhi, India",2014-09-25,Gold,Bills,Female,752172,2014,9
329,"Ahmedabad, India",2014-06-11,Gold,Bills,Female,418009,2014,6
330,"Delhi, India",2014-06-07,Signature,Bills,Female,994537,2014,6
331,"Greater Mumbai, India",2014-08-02,Silver,Bills,Female,922206,2014,8
332,"Greater Mumbai, India",2014-05-21,Signature,Bills,Female,389097,2014,5
333,"Bengaluru, India",2015-04-04,Signature,Bills,Female,880778,2015,4
334,"Greater Mumbai, India",2015-03-03,Gold,Bills,Female,327971,2015,3
335,"Bengaluru, India",2014-03-02,Signature,Bills,Female,689201,2014,3
336,"Bengaluru, India",2015-05-17,Silver,Bills,Female,792440,2015,5
337,"Bengaluru, India",2015-03-17,Signature,Bills,Female,602222,2015,3
338,"Ahmedabad, India",2014-09-03,Platinum,Bills,Female,502399,2014,9
339,"Ahmedabad, India",2014-03-17,Silver,Bills,Female,272804,2014,3
340,"Bengaluru, India",2014-06-06,Platinum,Bills,Female,613280,2014,6
341,"Delhi, India",2014-10-17,Signature,Bills,Female,876491,2014,10
342,"Bengaluru, India",2014-02-25,Silver,Bills,Female,820217,2014,2
343,"Greater Mumbai, India",2014-09-06,Signature,Bills,Female,994184,2014,9
344,"Ahmedabad, India",2013-12-07,Platinum,Bills,Female,515263,2013,12
345,"Ahmedabad, India",2014-08-28,Signature,Bills,Female,338527,2014,8
346,"Ahmedabad, India",2014-06-16,Silver,Bills,Female,934683,2014,6
347,"Ahmedabad, India",2014-07-07,Signature,Bills,Female,454570,2014,7
348,"Greater Mumbai, India",2015-01-28,Gold,Bills,Female,654519,2015,1
349,"Ahmedabad, India",2014-06-12,Gold,Bills,Female,958047,2014,6
350,"Bengaluru, India",2013-11-03,Silver,Bills,Female,465281,2013,11
351,"Ahmedabad, India",2013-12-31,Signature,Bills,Female,653161,2013,12
352,"Ahmedabad, India",2014-04-14,Gold,Bills,Female,307350,2014,4
353,"Greater Mumbai, India",2014-08-27,Silver,Bills,Female,41002,2014,8
354,"Bengaluru, India",2014-01-03,Silver,Bills,Female,34743,2014,1
355,"Bengaluru, India",2014-09-26,Signature,Bills,Female,195589,2014,9
356,"Bengaluru, India",2014-03-10,Signature,Bills,Female,204735,2014,3
357,"Ahmedabad, India",2014-05-14,Signature,Bills,Female,118112,2014,5
358,"Greater Mumbai, India",2013-12-12,Platinum,Bills,Female,61572,2013,12
359,"Delhi, India",2015-02-25,Gold,Bills,Female,274938,2015,2
360,"Greater Mumbai, India",2014-02-21,Signature,Bills,Female,43854,2014,2
